id;Price;RegistrationYear;Power;Brand;Model
368;2950;2004;54;volkswagen;polo
369;400;2017;65;opel;corsa
370;6880;2007;150;bmw;5er
371;5600;2008;140;volkswagen;golf
372;10550;2012;105;volkswagen;golf
373;17500;2013;122;mercedes_benz;a_klasse
374;999;1999;60;seat;ibiza
375;3400;2018;0;opel;astra
376;2000;1998;115;opel;astra
377;2350;2006;0;citroen;c1
378;6250;2016;310;opel;astra
379;2700;1999;125;audi;a4
380;500;1995;45;opel;corsa
381;5555;2010;71;smart;fortwo
382;8450;2010;95;mercedes_benz;a_klasse
383;2750;2001;147;opel;astra
384;650;1997;45;opel;corsa
385;680;2000;75;ford;focus
386;444;1995;45;opel;corsa
387;4650;2009;73;peugeot;2_reihe
388;4450;2007;97;kia;rio
389;1999;2003;65;nissan;micra
390;9650;2011;110;opel;zafira
391;2700;1992;220;mercedes_benz;e_klasse
392;2200;2000;0;peugeot;other
393;1;2000;75;volkswagen;golf
394;4500;2016;0;volkswagen;fox
395;3850;2004;82;mercedes_benz;a_klasse
396;15500;2008;239;volkswagen;touareg
397;3400;2002;193;bmw;5er
398;11500;2010;179;seat;ibiza
399;0;1985;0;bmw;3er
400;2800;2007;68;dacia;logan
401;120;1995;0;volkswagen;polo
402;1490;1992;136;mercedes_benz;e_klasse
403;650;2000;75;volkswagen;caddy
404;1199;1992;80;suzuki;other
405;350;1998;0;mazda;6_reihe
406;3200;2001;150;alfa_romeo;spider
407;4000;2004;203;kia;other
408;6450;2006;150;renault;megane
409;1690;2001;75;opel;corsa
410;1750;2002;150;volkswagen;passat
411;2990;2001;82;mercedes_benz;a_klasse
412;1299;2016;75;opel;astra
413;11000;2010;0;audi;a4
414;1000;2000;50;volkswagen;lupo
415;650;2000;144;opel;omega
416;5500;2010;120;citroen;other
417;1299;1998;75;citroen;other
418;7600;2004;143;mercedes_benz;c_klasse
419;13499;2010;160;volkswagen;golf
420;1490;2007;58;daihatsu;cuore
421;5500;2007;80;volkswagen;golf
422;2350;2003;143;bmw;3er
423;3000;2016;0;ford;c_max
424;6350;2009;140;ford;s_max
425;750;1999;101;mazda;other
426;1500;1998;101;opel;vectra
427;8500;2003;300;audi;a4
428;4300;2003;179;audi;a6
429;850;2001;103;fiat;other
430;6700;2009;95;mercedes_benz;a_klasse
431;2238;2003;75;opel;corsa
432;250;1994;102;bmw;3er
433;3350;1997;170;bmw;3er
434;2000;2005;86;renault;modus
435;14500;2007;140;audi;a6
436;4199;2002;75;audi;a2
437;6999;2009;85;seat;ibiza
438;4490;2008;60;volkswagen;polo
439;1200;2002;90;mazda;3_reihe
440;8100;2004;150;mercedes_benz;e_klasse
441;12650;2006;258;bmw;5er
442;2400;1997;125;volkswagen;passat
443;5250;2017;84;seat;ibiza
444;14500;2009;160;audi;a3
445;1950;2016;0;peugeot;2_reihe
446;0;2016;197;bmw;3er
447;4300;2007;90;volkswagen;golf
448;2250;2006;61;smart;fortwo
449;10550;2008;143;audi;a4
450;200;1995;60;seat;ibiza
451;0;1990;0;bmw;3er
452;11500;2010;170;audi;a6
453;890;2002;101;opel;vectra
455;9600;2008;136;mercedes_benz;c_klasse
456;1099;1995;45;opel;corsa
457;1700;2000;75;opel;astra
458;4760;2008;98;peugeot;other
459;16500;2012;140;ford;galaxy
460;5300;1999;179;audi;tt
461;3555;2003;109;citroen;c3
462;350;1989;45;fiat;other
463;19900;2009;150;mercedes_benz;viano
464;15200;2007;320;mercedes_benz;s_klasse
465;700;1994;75;mazda;1_reihe
466;550;1995;130;bmw;3er
467;8700;2006;140;volkswagen;eos
468;6990;2012;86;fiat;panda
469;5500;2006;90;citroen;c4
470;1650;2006;63;hyundai;getz
471;7900;2009;170;audi;a3
472;4290;2006;109;peugeot;2_reihe
473;14650;2014;86;volkswagen;golf
474;3299;2002;143;bmw;3er
475;6500;2012;81;ford;fiesta
476;600;2002;148;peugeot;2_reihe
477;5800;2006;102;volkswagen;golf
478;1600;1999;75;opel;astra
479;8000;2011;156;mercedes_benz;c_klasse
480;700;2000;0;peugeot;2_reihe
481;6500;2007;170;audi;a4
482;899;2018;101;peugeot;3_reihe
483;2790;2004;109;citroen;other
484;2390;2007;54;volkswagen;other
485;9900;2008;170;bmw;3er
486;6500;2009;140;volkswagen;passat
487;1450;2001;125;ford;mondeo
488;3600;2003;131;volkswagen;sharan
489;2295;2000;54;smart;fortwo
490;1699;1998;0;bmw;5er
491;4400;2017;95;mercedes_benz;a_klasse
492;950;1991;90;volkswagen;golf
493;500;1996;45;volkswagen;polo
494;800;1998;101;volkswagen;passat
495;1250;1998;116;nissan;other
496;2700;2018;0;mercedes_benz;e_klasse
497;3250;2006;129;toyota;avensis
498;13500;2007;204;mercedes_benz;viano
499;4999;1999;170;bmw;3er
500;18300;2013;122;volkswagen;tiguan
501;1000;2001;75;volkswagen;golf
502;2700;2003;75;opel;corsa
503;4990;2007;69;skoda;roomster
504;150;2016;50;volkswagen;polo
505;6800;2001;192;bmw;3er
506;2999;2009;75;renault;clio
507;1500;1991;97;mercedes_benz;other
508;4600;2017;184;bmw;3er
509;6500;1981;204;mercedes_benz;sl
510;1900;2004;136;peugeot;2_reihe
511;4900;1973;44;volkswagen;kaefer
512;10490;2010;140;audi;a3
513;2100;2004;83;suzuki;other
514;3999;2003;102;volkswagen;passat
515;1350;2001;60;peugeot;2_reihe
516;600;1994;105;mazda;6_reihe
517;4550;2016;101;volkswagen;golf
518;800;2005;70;opel;corsa
519;11500;2015;160;opel;insignia
520;5000;2000;122;mercedes_benz;vito
521;2400;2004;69;opel;corsa
522;4800;2004;145;hyundai;santa
523;3250;2011;60;volkswagen;fox
524;200;1995;55;volkswagen;golf
525;11800;2006;170;audi;a3
526;2800;2005;0;volkswagen;touran
527;3500;2000;143;mercedes_benz;e_klasse
528;9499;2008;136;mercedes_benz;c_klasse
529;3500;1998;125;volkswagen;passat
530;1999;2002;60;volkswagen;lupo
531;1500;1998;150;bmw;5er
532;400;1995;85;mercedes_benz;c_klasse
533;12950;2011;105;volkswagen;touran
534;2150;2008;64;hyundai;getz
535;4999;1999;180;audi;tt
536;5200;2001;163;mercedes_benz;c_klasse
537;8200;2006;0;mini;cooper
538;9099;2004;280;seat;leon
539;8200;2006;122;mini;cooper
540;2000;1995;193;bmw;3er
541;750;1997;75;volkswagen;golf
542;2099;2017;184;bmw;other
543;150;2016;0;opel;corsa
544;1190;2001;60;volkswagen;lupo
545;1200;2000;101;opel;zafira
546;3000;2002;116;mazda;6_reihe
547;1150;2001;60;fiat;punto
548;13980;2006;231;bmw;5er
549;6499;2006;136;ford;c_max
550;3499;2004;140;peugeot;4_reihe
551;8850;2005;190;mercedes_benz;e_klasse
552;4000;2001;115;volkswagen;sharan
553;0;1996;170;bmw;5er
554;3200;2005;0;audi;a4
555;1990;2003;90;ford;other
556;150;1996;0;volkswagen;polo
557;7199;2009;140;volkswagen;golf
558;16299;2010;239;audi;a5
559;1999;2001;116;bmw;3er
560;1500;2018;0;bmw;3er
561;9990;2010;150;kia;sportage
562;13800;2008;190;audi;a4
563;0;1997;0;bmw;3er
564;2150;2003;75;renault;twingo
565;2500;1998;90;volkswagen;caddy
566;15750;2011;184;bmw;3er
567;990;1997;101;volkswagen;golf
568;700;2001;75;volkswagen;golf
569;750;1997;122;mercedes_benz;c_klasse
571;12000;2016;105;volkswagen;golf
572;11800;2001;260;audi;a8
573;2700;1992;60;volkswagen;transporter
574;1650;2006;69;opel;corsa
575;999;1997;75;volkswagen;golf
576;3800;2001;0;bmw;3er
577;800;1998;109;bmw;3er
578;11900;2007;179;audi;a4
579;1500;1996;0;volkswagen;golf
580;450;1996;0;opel;combo
581;1100;1998;120;renault;laguna
582;2100;2009;156;chrysler;other
583;5350;2003;116;mini;cooper
584;6000;2009;177;bmw;3er
585;1899;1999;0;volkswagen;lupo
586;2000;2003;130;chrysler;ptcruiser
587;5990;2002;197;mercedes_benz;clk
588;0;1998;75;volkswagen;polo
589;4499;2005;140;audi;a3
590;2999;1999;105;bmw;3er
591;7800;2006;104;volkswagen;golf
592;2900;2002;116;nissan;primera
593;1999;2004;136;peugeot;4_reihe
594;8799;2014;87;hyundai;i_reihe
595;970;2001;88;kia;other
596;1599;1999;90;ford;focus
597;750;1994;107;renault;espace
598;1000;1991;116;opel;vectra
599;10500;2009;140;kia;sportage
600;5900;2017;116;mini;cooper
601;12000;1969;140;mercedes_benz;s_klasse
602;1698;1997;136;opel;other
603;1850;2003;0;peugeot;other
604;7990;2017;109;hyundai;i_reihe
605;4500;2007;90;volkswagen;golf
606;1480;2003;58;renault;twingo
607;8450;2008;131;ford;galaxy
608;1650;2017;60;opel;corsa
609;3700;2003;143;mercedes_benz;c_klasse
610;14800;2011;0;bmw;x_reihe
611;5000;2008;136;ford;focus
612;7500;2006;95;mercedes_benz;b_klasse
613;14750;2009;160;audi;a4
614;10100;2009;143;bmw;1er
615;1750;2016;116;ford;galaxy
616;2250;2001;147;opel;vectra
617;15500;2012;120;seat;exeo
618;2300;1999;170;bmw;3er
619;2300;2004;0;bmw;3er
620;12999;2002;306;mercedes_benz;s_klasse
621;7800;2006;131;volkswagen;transporter
622;1000;2016;0;opel;astra
623;6200;2009;95;peugeot;2_reihe
624;5300;2009;68;peugeot;2_reihe
625;1849;1997;193;audi;a4
626;1800;1999;58;renault;clio
627;2100;2005;64;volkswagen;polo
628;1700;1999;193;bmw;3er
629;950;2002;0;fiat;punto
630;800;1996;122;mercedes_benz;c_klasse
631;500;2001;188;chevrolet;other
632;11850;2011;95;mercedes_benz;a_klasse
633;890;2007;75;dacia;logan
634;250;2000;0;volkswagen;transporter
635;600;1998;0;ford;mondeo
636;2500;2001;0;audi;a2
637;1299;1999;102;mercedes_benz;a_klasse
638;750;1998;193;bmw;5er
639;4500;2004;105;volkswagen;touran
640;4000;1999;120;nissan;other
641;950;1999;60;volkswagen;polo
642;3900;2016;0;nissan;other
643;4200;2003;90;mini;one
644;5950;2003;131;seat;ibiza
645;2650;2006;105;volkswagen;golf
646;9500;2005;265;audi;a4
647;9250;2012;75;mini;one
648;850;1996;116;volkswagen;passat
649;2990;2002;116;mercedes_benz;e_klasse
650;16000;2010;170;mercedes_benz;c_klasse
651;499;1992;54;volkswagen;golf
652;2500;1999;170;bmw;5er
653;3499;2004;75;volkswagen;golf
654;400;2016;0;renault;kangoo
655;1699;2003;102;mercedes_benz;a_klasse
656;2400;2006;75;renault;clio
657;2999;2000;122;mercedes_benz;c_klasse
658;13800;2005;333;bmw;5er
659;1100;2017;0;audi;a3
660;6200;2009;68;toyota;other
661;3450;2007;88;ford;fiesta
662;3500;2005;125;opel;zafira
663;7500;2013;71;smart;fortwo
664;11000;2012;105;skoda;octavia
665;2100;2004;65;nissan;micra
666;3999;2002;131;volkswagen;passat
667;13900;2008;150;volkswagen;eos
668;550;1995;105;bmw;3er
669;250;2001;0;renault;twingo
670;480;2016;0;ford;fiesta
671;3200;2000;75;volkswagen;golf
672;11500;2006;129;bmw;1er
673;11540;2010;122;volkswagen;scirocco
674;13199;2012;120;peugeot;2_reihe
675;12790;2001;163;mercedes_benz;clk
676;600;1995;122;mercedes_benz;c_klasse
677;2500;2001;125;ford;mondeo
678;13750;2015;86;volkswagen;golf
679;8200;2013;75;opel;corsa
680;3000;2004;110;ford;c_max
681;2300;1996;0;bmw;7er
682;550;2001;0;renault;twingo
683;2350;1999;150;audi;a4
684;1750;1997;0;bmw;other
685;14900;2012;105;volkswagen;golf
686;12800;2010;140;audi;a3
687;1800;2004;63;hyundai;getz
688;150;1993;0;renault;twingo
689;3100;2004;101;volkswagen;polo
690;5500;2003;163;audi;a4
692;0;2005;75;peugeot;2_reihe
693;480;2001;75;mazda;other
694;1800;1994;102;bmw;3er
695;350;1999;120;hyundai;other
696;10490;2013;80;ford;fiesta
697;3800;2000;122;mercedes_benz;vito
698;1290;2001;101;ford;transit
699;1200;1998;101;volkswagen;golf
700;10999;2011;117;nissan;juke
701;13900;2013;86;audi;a1
702;2000;1997;193;audi;a4
703;5600;2000;224;audi;tt
704;18000;2012;122;volkswagen;golf
705;5300;2007;95;mercedes_benz;b_klasse
706;13500;2007;218;bmw;x_reihe
707;2850;2000;105;bmw;3er
708;4900;2017;150;bmw;3er
709;3850;2001;141;chrysler;other
710;800;1998;100;opel;vectra
711;6490;2008;120;peugeot;3_reihe
712;4550;2003;105;volkswagen;golf
713;9000;2016;122;bmw;1er
714;2250;2004;75;seat;ibiza
715;350;1997;65;ford;ka
716;8400;2009;0;nissan;qashqai
717;7490;2009;105;skoda;fabia
718;3250;2003;178;renault;espace
719;2500;2000;90;volkswagen;passat
720;699;1997;116;opel;vectra
721;450;2005;58;renault;twingo
722;13500;2010;140;volkswagen;touran
723;9500;2005;109;volkswagen;transporter
724;12990;2007;190;audi;a4
725;700;1997;45;peugeot;1_reihe
726;2750;2003;150;hyundai;other
727;15900;2011;140;ford;galaxy
728;13499;2010;156;mercedes_benz;c_klasse
729;1300;2001;75;volkswagen;golf
730;7990;2005;200;audi;a3
731;550;1995;45;volkswagen;polo
732;950;1998;75;opel;astra
733;4699;2006;109;citroen;c4
734;3500;2006;170;mercedes_benz;e_klasse
735;3500;2016;64;volkswagen;polo
736;5997;2007;102;volkswagen;golf
737;2200;2003;113;renault;scenic
738;999;1999;75;volkswagen;golf
739;1200;1997;170;bmw;5er
740;180;1997;55;opel;corsa
741;999;1999;115;volvo;v40
742;1200;2000;75;volkswagen;polo
743;5500;2006;102;volkswagen;touran
744;5250;1996;193;bmw;3er
745;9000;2008;140;audi;a3
746;4600;2009;75;renault;clio
747;2500;1999;150;audi;a6
748;200;2005;58;renault;twingo
749;0;2000;0;opel;astra
750;2799;1999;116;volkswagen;golf
751;9600;2008;177;bmw;5er
752;1600;2001;101;opel;zafira
753;5999;2012;69;fiat;punto
754;2200;2003;0;audi;a2
755;2500;2000;150;volkswagen;golf
756;7600;2006;122;mercedes_benz;c_klasse
757;7499;2001;170;bmw;3er
758;1100;1996;75;volkswagen;golf
759;890;1997;136;renault;other
760;1099;1995;75;volkswagen;golf
761;3999;2006;131;renault;megane
762;4999;2011;0;skoda;fabia
763;250;2017;59;ford;ka
764;2799;2001;75;volkswagen;polo
765;1200;2000;95;mitsubishi;carisma
766;3299;1989;132;mercedes_benz;e_klasse
767;4799;2017;143;bmw;3er
768;3999;1999;193;bmw;3er
769;650;1997;60;volkswagen;golf
770;8800;2011;165;opel;zafira
771;2000;1998;204;mercedes_benz;e_klasse
772;12800;1999;265;audi;other
773;398;1996;116;opel;omega
774;2700;2001;170;bmw;3er
775;6999;2001;265;opel;astra
776;4000;1999;0;mercedes_benz;s_klasse
777;2190;2003;155;honda;accord
778;7450;2003;170;audi;a4
779;1850;2002;75;opel;corsa
780;9450;2005;163;audi;a4
781;2999;2007;109;ford;focus
782;3950;2007;0;opel;corsa
