id;Price;RegistrationYear;Power;Brand;Model;VehicleType
189;1350;2002;60;ford;ka;small
190;11000;2006;231;bmw;5er;wagon
191;1999;2016;110;nissan;almera;
192;6900;2006;163;renault;megane;convertible
193;1600;1996;0;bmw;7er;sedan
194;12999;2008;179;audi;a6;wagon
195;18400;2011;313;bmw;5er;wagon
196;999;1995;75;volkswagen;other;sedan
197;12899;2009;140;audi;a3;
198;10500;2010;143;bmw;3er;sedan
199;2250;2001;41;smart;fortwo;small
200;8500;2010;80;volkswagen;golf;sedan
201;14900;2007;265;bmw;1er;sedan
202;500;1994;75;volkswagen;golf;small
203;1200;2002;45;volkswagen;lupo;small
204;1250;1996;125;audi;a3;sedan
205;370;1992;54;volkswagen;polo;small
206;1000;1999;165;audi;a6;wagon
207;350;1993;88;renault;r19;sedan
208;8600;2007;197;bmw;3er;coupe
209;2100;2017;0;opel;zafira;
210;2222;1991;98;volkswagen;golf;convertible
211;850;1985;54;volkswagen;caddy;
212;11800;2005;218;bmw;3er;sedan
213;4000;2008;115;ford;c_max;bus
214;4650;2005;150;mercedes_benz;c_klasse;wagon
215;1450;1999;75;peugeot;2_reihe;small
216;900;2017;60;opel;corsa;
217;800;2002;115;ford;mondeo;wagon
218;1600;2000;90;seat;cordoba;wagon
219;2800;2004;75;volkswagen;golf;sedan
220;5499;2004;122;mercedes_benz;c_klasse;wagon
221;5500;2000;170;bmw;3er;sedan
222;0;2001;115;ford;mondeo;wagon
223;1000;1982;41;suzuki;other;suv
224;3750;2005;75;volkswagen;golf;
225;1440;2003;109;lancia;other;bus
226;1150;2000;75;renault;clio;small
227;15700;2011;170;volkswagen;golf;sedan
228;899;1995;102;bmw;3er;coupe
229;130;1998;0;mercedes_benz;e_klasse;wagon
230;9200;2006;150;bmw;3er;wagon
231;3350;2000;130;mercedes_benz;sprinter;bus
232;2700;2006;75;renault;clio;small
233;800;2001;114;mazda;other;bus
234;10200;2008;0;nissan;other;coupe
235;9800;2008;140;audi;a6;sedan
236;14700;2012;211;volkswagen;golf;sedan
237;1200;1997;101;volkswagen;golf;sedan
238;895;1995;75;mitsubishi;colt;sedan
239;950;1995;54;volkswagen;polo;small
240;8000;2006;177;subaru;impreza;sedan
241;6799;2002;286;bmw;5er;sedan
242;500;1999;56;opel;corsa;small
243;11919;2012;90;volkswagen;polo;small
244;300;1993;90;volkswagen;golf;small
245;10800;2010;105;audi;a1;small
246;650;2002;101;opel;vectra;sedan
247;800;2000;118;bmw;3er;wagon
248;1690;2001;75;volkswagen;lupo;small
249;3650;2004;113;renault;megane;convertible
250;4850;2009;75;citroen;berlingo;bus
251;1450;1999;0;mercedes_benz;c_klasse;sedan
252;4500;2007;140;volkswagen;passat;wagon
253;3900;2003;131;volkswagen;passat;wagon
254;750;2000;101;volkswagen;passat;wagon
255;5900;1999;184;bmw;7er;sedan
256;1100;2000;116;volkswagen;golf;sedan
257;8400;2009;201;renault;clio;small
258;1;1990;90;audi;80;sedan
259;800;1998;75;volkswagen;golf;sedan
260;14950;2009;140;volkswagen;touran;bus
261;14900;2004;170;bmw;z_reihe;convertible
262;2950;1998;235;bmw;5er;sedan
263;12000;2011;101;volkswagen;tiguan;suv
264;2500;2001;150;mercedes_benz;c_klasse;wagon
265;2400;2001;115;volkswagen;golf;convertible
266;4600;2017;109;hyundai;i_reihe;
267;6000;1995;286;mitsubishi;other;coupe
268;8950;2012;95;ford;fiesta;small
269;590;1996;0;opel;corsa;sedan
270;150;2016;75;ford;fiesta;
271;18700;2009;213;ford;mustang;coupe
272;9500;2012;69;volkswagen;polo;sedan
273;11550;2009;140;volkswagen;passat;coupe
274;1250;2017;0;renault;espace;
275;2400;1989;102;bmw;3er;sedan
276;16150;2011;150;volkswagen;tiguan;suv
277;3400;2000;0;volkswagen;sharan;bus
278;3000;2000;179;audi;tt;coupe
279;5500;2004;90;volkswagen;golf;sedan
280;2000;2004;122;mazda;6_reihe;sedan
281;300;1998;58;renault;twingo;small
282;890;2000;107;renault;megane;sedan
283;2390;2016;83;honda;jazz;
284;1450;2017;0;mercedes_benz;a_klasse;
285;1699;1999;75;opel;astra;sedan
286;2899;1996;69;mitsubishi;other;bus
287;4800;2004;75;volkswagen;golf;sedan
288;6799;2008;174;peugeot;3_reihe;sedan
289;3400;2003;100;volkswagen;touran;bus
290;2650;2004;125;opel;astra;sedan
291;1000;1999;107;renault;clio;small
292;800;1997;125;audi;a3;coupe
293;5299;2002;220;audi;a4;convertible
294;7150;2002;150;mercedes_benz;e_klasse;sedan
295;2300;2006;88;citroen;c4;coupe
296;350;2017;0;opel;corsa;
297;5500;2006;140;volkswagen;golf;bus
298;4400;1997;54;fiat;panda;small
299;7950;2008;140;audi;a3;sedan
300;16500;2007;265;bmw;z_reihe;coupe
301;8100;2004;170;bmw;z_reihe;convertible
302;3999;2017;85;volkswagen;transporter;
303;9750;2013;75;volkswagen;up;small
304;7700;2009;185;mazda;3_reihe;sedan
305;2500;1999;88;peugeot;3_reihe;convertible
306;1195;1999;54;smart;fortwo;small
307;9790;2014;73;renault;clio;wagon
308;1849;1999;54;renault;clio;small
309;3300;2006;41;smart;fortwo;small
310;650;1991;77;volkswagen;transporter;wagon
311;2600;1998;170;toyota;other;coupe
312;11700;2008;170;mercedes_benz;other;wagon
313;600;1998;90;renault;scenic;bus
314;4950;2009;109;hyundai;i_reihe;wagon
315;1600;2003;50;volkswagen;lupo;small
316;8499;2006;150;bmw;3er;convertible
317;1650;2017;0;fiat;seicento;
318;1700;1999;101;volkswagen;golf;sedan
319;5750;2010;90;kia;ceed;sedan
320;600;2001;75;renault;kangoo;bus
321;0;2005;0;volkswagen;polo;
322;8700;2004;170;bmw;5er;sedan
323;1200;1999;125;mercedes_benz;c_klasse;wagon
324;18880;2014;116;mazda;5_reihe;bus
325;11200;2008;177;bmw;5er;wagon
326;3550;1993;0;chevrolet;other;sedan
327;3900;2003;75;seat;ibiza;small
328;13849;2010;143;bmw;1er;sedan
329;13200;2013;105;skoda;yeti;suv
330;2500;2001;101;skoda;fabia;wagon
331;2550;2006;54;skoda;fabia;small
332;3900;2006;102;skoda;octavia;wagon
333;2450;2001;231;bmw;3er;sedan
334;500;1996;45;opel;corsa;small
335;750;1998;90;volkswagen;passat;wagon
336;1799;1999;116;opel;zafira;bus
337;950;1997;0;volkswagen;golf;small
338;8150;2012;75;seat;mii;small
339;3900;2004;192;mazda;rx_reihe;coupe
340;9999;2014;90;opel;corsa;small
341;1050;2018;0;volkswagen;golf;
342;500;2001;131;ford;mondeo;wagon
343;699;1992;66;volkswagen;golf;sedan
344;999;1994;115;opel;astra;convertible
345;6250;2003;299;audi;a6;sedan
346;10000;1976;0;volkswagen;transporter;bus
347;16500;1983;218;bmw;6er;coupe
348;6500;2007;125;ford;focus;sedan
349;1200;2016;75;renault;modus;
350;1480;2000;74;volkswagen;golf;convertible
351;1490;2000;60;fiat;punto;small
352;3200;2008;110;opel;astra;wagon
353;3250;2003;163;audi;a6;wagon
354;3400;2006;54;volkswagen;fox;small
355;1100;2002;58;renault;twingo;small
356;1750;2002;125;opel;vectra;sedan
357;3300;2006;140;volkswagen;passat;wagon
358;1350;2005;52;chevrolet;matiz;small
359;8250;2012;69;fiat;panda;small
360;2500;2000;115;volkswagen;beetle;small
361;3999;2004;163;audi;a6;wagon
362;7000;2007;143;bmw;1er;sedan
363;2950;2005;131;renault;other;bus
364;4850;2010;77;hyundai;i_reihe;small
365;1100;2000;60;fiat;punto;small
366;3600;2003;147;opel;vectra;sedan
367;7750;2009;80;volkswagen;golf;sedan
368;2950;2004;54;volkswagen;polo;small
369;400;2017;65;opel;corsa;
370;6880;2007;150;bmw;5er;wagon
371;5600;2008;140;volkswagen;golf;bus
372;10550;2012;105;volkswagen;golf;sedan
373;17500;2013;122;mercedes_benz;a_klasse;sedan
374;999;1999;60;seat;ibiza;small
375;3400;2018;0;opel;astra;
376;2000;1998;115;opel;astra;wagon
377;2350;2006;0;citroen;c1;
378;6250;2016;310;opel;astra;
379;2700;1999;125;audi;a4;sedan
380;500;1995;45;opel;corsa;small
381;5555;2010;71;smart;fortwo;convertible
382;8450;2010;95;mercedes_benz;a_klasse;sedan
383;2750;2001;147;opel;astra;convertible
384;650;1997;45;opel;corsa;small
385;680;2000;75;ford;focus;sedan
386;444;1995;45;opel;corsa;small
387;4650;2009;73;peugeot;2_reihe;small
388;4450;2007;97;kia;rio;small
389;1999;2003;65;nissan;micra;small
390;9650;2011;110;opel;zafira;bus
391;2700;1992;220;mercedes_benz;e_klasse;sedan
392;2200;2000;0;peugeot;other;bus
393;1;2000;75;volkswagen;golf;
394;4500;2016;0;volkswagen;fox;
395;3850;2004;82;mercedes_benz;a_klasse;sedan
396;15500;2008;239;volkswagen;touareg;suv
397;3400;2002;193;bmw;5er;sedan
398;11500;2010;179;seat;ibiza;small
399;0;1985;0;bmw;3er;
400;2800;2007;68;dacia;logan;wagon
401;120;1995;0;volkswagen;polo;small
402;1490;1992;136;mercedes_benz;e_klasse;sedan
403;650;2000;75;volkswagen;caddy;wagon
404;1199;1992;80;suzuki;other;suv
405;350;1998;0;mazda;6_reihe;wagon
406;3200;2001;150;alfa_romeo;spider;convertible
407;4000;2004;203;kia;other;sedan
408;6450;2006;150;renault;megane;wagon
409;1690;2001;75;opel;corsa;small
410;1750;2002;150;volkswagen;passat;sedan
411;2990;2001;82;mercedes_benz;a_klasse;sedan
412;1299;2016;75;opel;astra;
413;11000;2010;0;audi;a4;wagon
414;1000;2000;50;volkswagen;lupo;small
415;650;2000;144;opel;omega;wagon
416;5500;2010;120;citroen;other;other
417;1299;1998;75;citroen;other;coupe
418;7600;2004;143;mercedes_benz;c_klasse;wagon
419;13499;2010;160;volkswagen;golf;wagon
420;1490;2007;58;daihatsu;cuore;small
421;5500;2007;80;volkswagen;golf;sedan
422;2350;2003;143;bmw;3er;sedan
423;3000;2016;0;ford;c_max;
424;6350;2009;140;ford;s_max;bus
425;750;1999;101;mazda;other;bus
426;1500;1998;101;opel;vectra;sedan
427;8500;2003;300;audi;a4;sedan
428;4300;2003;179;audi;a6;wagon
429;850;2001;103;fiat;other;wagon
430;6700;2009;95;mercedes_benz;a_klasse;sedan
431;2238;2003;75;opel;corsa;small
432;250;1994;102;bmw;3er;small
433;3350;1997;170;bmw;3er;coupe
434;2000;2005;86;renault;modus;bus
435;14500;2007;140;audi;a6;wagon
436;4199;2002;75;audi;a2;small
437;6999;2009;85;seat;ibiza;small
438;4490;2008;60;volkswagen;polo;small
439;1200;2002;90;mazda;3_reihe;small
440;8100;2004;150;mercedes_benz;e_klasse;wagon
441;12650;2006;258;bmw;5er;wagon
442;2400;1997;125;volkswagen;passat;wagon
443;5250;2017;84;seat;ibiza;
444;14500;2009;160;audi;a3;sedan
445;1950;2016;0;peugeot;2_reihe;
446;0;2016;197;bmw;3er;
447;4300;2007;90;volkswagen;golf;sedan
448;2250;2006;61;smart;fortwo;small
449;10550;2008;143;audi;a4;wagon
450;200;1995;60;seat;ibiza;small
451;0;1990;0;bmw;3er;
452;11500;2010;170;audi;a6;sedan
453;890;2002;101;opel;vectra;wagon
454;2990;2006;105;alfa_romeo;147;sedan
455;9600;2008;136;mercedes_benz;c_klasse;wagon
456;1099;1995;45;opel;corsa;small
457;1700;2000;75;opel;astra;sedan
458;4760;2008;98;peugeot;other;other
459;16500;2012;140;ford;galaxy;bus
460;5300;1999;179;audi;tt;coupe
461;3555;2003;109;citroen;c3;small
462;350;1989;45;fiat;other;small
463;19900;2009;150;mercedes_benz;viano;bus
464;15200;2007;320;mercedes_benz;s_klasse;sedan
465;700;1994;75;mazda;1_reihe;small
466;550;1995;130;bmw;3er;sedan
467;8700;2006;140;volkswagen;eos;convertible
468;6990;2012;86;fiat;panda;small
469;5500;2006;90;citroen;c4;sedan
470;1650;2006;63;hyundai;getz;small
471;7900;2009;170;audi;a3;sedan
472;4290;2006;109;peugeot;2_reihe;convertible
473;14650;2014;86;volkswagen;golf;sedan
474;3299;2002;143;bmw;3er;wagon
475;6500;2012;81;ford;fiesta;small
476;600;2002;148;peugeot;2_reihe;small
477;5800;2006;102;volkswagen;golf;sedan
478;1600;1999;75;opel;astra;wagon
479;8000;2011;156;mercedes_benz;c_klasse;wagon
480;700;2000;0;peugeot;2_reihe;small
481;6500;2007;170;audi;a4;wagon
482;899;2018;101;peugeot;3_reihe;
483;2790;2004;109;citroen;other;bus
484;2390;2007;54;volkswagen;other;small
485;9900;2008;170;bmw;3er;sedan
486;6500;2009;140;volkswagen;passat;wagon
487;1450;2001;125;ford;mondeo;wagon
488;3600;2003;131;volkswagen;sharan;bus
489;2295;2000;54;smart;fortwo;convertible
490;1699;1998;0;bmw;5er;wagon
491;4400;2017;95;mercedes_benz;a_klasse;
492;950;1991;90;volkswagen;golf;sedan
493;500;1996;45;volkswagen;polo;small
494;800;1998;101;volkswagen;passat;wagon
495;1250;1998;116;nissan;other;suv
496;2700;2018;0;mercedes_benz;e_klasse;
497;3250;2006;129;toyota;avensis;wagon
498;13500;2007;204;mercedes_benz;viano;bus
499;4999;1999;170;bmw;3er;sedan
500;18300;2013;122;volkswagen;tiguan;suv
501;1000;2001;75;volkswagen;golf;small
502;2700;2003;75;opel;corsa;small
503;4990;2007;69;skoda;roomster;bus
504;150;2016;50;volkswagen;polo;
505;6800;2001;192;bmw;3er;convertible
506;2999;2009;75;renault;clio;small
507;1500;1991;97;mercedes_benz;other;sedan
508;4600;2017;184;bmw;3er;
509;6500;1981;204;mercedes_benz;sl;convertible
510;1900;2004;136;peugeot;2_reihe;small
511;4900;1973;44;volkswagen;kaefer;convertible
512;10490;2010;140;audi;a3;wagon
513;2100;2004;83;suzuki;other;small
514;3999;2003;102;volkswagen;passat;sedan
515;1350;2001;60;peugeot;2_reihe;small
516;600;1994;105;mazda;6_reihe;sedan
517;4550;2016;101;volkswagen;golf;
518;800;2005;70;opel;corsa;small
519;11500;2015;160;opel;insignia;wagon
520;5000;2000;122;mercedes_benz;vito;bus
521;2400;2004;69;opel;corsa;small
522;4800;2004;145;hyundai;santa;suv
523;3250;2011;60;volkswagen;fox;small
524;200;1995;55;volkswagen;golf;
525;11800;2006;170;audi;a3;wagon
526;2800;2005;0;volkswagen;touran;wagon
527;3500;2000;143;mercedes_benz;e_klasse;wagon
528;9499;2008;136;mercedes_benz;c_klasse;sedan
529;3500;1998;125;volkswagen;passat;wagon
530;1999;2002;60;volkswagen;lupo;small
531;1500;1998;150;bmw;5er;wagon
532;400;1995;85;mercedes_benz;c_klasse;sedan
533;12950;2011;105;volkswagen;touran;bus
534;2150;2008;64;hyundai;getz;small
535;4999;1999;180;audi;tt;coupe
536;5200;2001;163;mercedes_benz;c_klasse;wagon
537;8200;2006;0;mini;cooper;small
538;9099;2004;280;seat;leon;sedan
539;8200;2006;122;mini;cooper;small
540;2000;1995;193;bmw;3er;coupe
541;750;1997;75;volkswagen;golf;small
542;2099;2017;184;bmw;other;
543;150;2016;0;opel;corsa;
544;1190;2001;60;volkswagen;lupo;small
545;1200;2000;101;opel;zafira;bus
546;3000;2002;116;mazda;6_reihe;sedan
547;1150;2001;60;fiat;punto;small
548;13980;2006;231;bmw;5er;sedan
549;6499;2006;136;ford;c_max;bus
550;3499;2004;140;peugeot;4_reihe;sedan
551;8850;2005;190;mercedes_benz;e_klasse;wagon
552;4000;2001;115;volkswagen;sharan;bus
553;0;1996;170;bmw;5er;sedan
554;3200;2005;0;audi;a4;small
555;1990;2003;90;ford;other;bus
556;150;1996;0;volkswagen;polo;small
557;7199;2009;140;volkswagen;golf;sedan
558;16299;2010;239;audi;a5;sedan
559;1999;2001;116;bmw;3er;coupe
560;1500;2018;0;bmw;3er;
561;9990;2010;150;kia;sportage;suv
562;13800;2008;190;audi;a4;wagon
563;0;1997;0;bmw;3er;sedan
564;2150;2003;75;renault;twingo;small
565;2500;1998;90;volkswagen;caddy;bus
566;15750;2011;184;bmw;3er;wagon
567;990;1997;101;volkswagen;golf;wagon
568;700;2001;75;volkswagen;golf;small
569;750;1997;122;mercedes_benz;c_klasse;wagon
570;8500;2017;0;fiat;500;
571;12000;2016;105;volkswagen;golf;
572;11800;2001;260;audi;a8;sedan
573;2700;1992;60;volkswagen;transporter;bus
574;1650;2006;69;opel;corsa;small
575;999;1997;75;volkswagen;golf;small
576;3800;2001;0;bmw;3er;convertible
577;800;1998;109;bmw;3er;sedan
578;11900;2007;179;audi;a4;sedan
579;1500;1996;0;volkswagen;golf;small
580;450;1996;0;opel;combo;other
581;1100;1998;120;renault;laguna;wagon
582;2100;2009;156;chrysler;other;suv
583;5350;2003;116;mini;cooper;small
584;6000;2009;177;bmw;3er;sedan
585;1899;1999;0;volkswagen;lupo;small
586;2000;2003;130;chrysler;ptcruiser;wagon
587;5990;2002;197;mercedes_benz;clk;coupe
588;0;1998;75;volkswagen;polo;sedan
589;4499;2005;140;audi;a3;sedan
590;2999;1999;105;bmw;3er;sedan
591;7800;2006;104;volkswagen;golf;sedan
592;2900;2002;116;nissan;primera;sedan
593;1999;2004;136;peugeot;4_reihe;sedan
594;8799;2014;87;hyundai;i_reihe;small
595;970;2001;88;kia;other;sedan
596;1599;1999;90;ford;focus;wagon
597;750;1994;107;renault;espace;bus
598;1000;1991;116;opel;vectra;sedan
599;10500;2009;140;kia;sportage;suv
600;5900;2017;116;mini;cooper;
601;12000;1969;140;mercedes_benz;s_klasse;sedan
602;1698;1997;136;opel;other;suv
603;1850;2003;0;peugeot;other;small
604;7990;2017;109;hyundai;i_reihe;
605;4500;2007;90;volkswagen;golf;sedan
606;1480;2003;58;renault;twingo;small
607;8450;2008;131;ford;galaxy;bus
608;1650;2017;60;opel;corsa;
609;3700;2003;143;mercedes_benz;c_klasse;coupe
610;14800;2011;0;bmw;x_reihe;suv
611;5000;2008;136;ford;focus;wagon
612;7500;2006;95;mercedes_benz;b_klasse;bus
613;14750;2009;160;audi;a4;wagon
614;10100;2009;143;bmw;1er;
615;1750;2016;116;ford;galaxy;
616;2250;2001;147;opel;vectra;wagon
617;15500;2012;120;seat;exeo;wagon
618;2300;1999;170;bmw;3er;coupe
619;2300;2004;0;bmw;3er;sedan
620;12999;2002;306;mercedes_benz;s_klasse;sedan
621;7800;2006;131;volkswagen;transporter;bus
622;1000;2016;0;opel;astra;
623;6200;2009;95;peugeot;2_reihe;small
624;5300;2009;68;peugeot;2_reihe;small
625;1849;1997;193;audi;a4;wagon
626;1800;1999;58;renault;clio;small
627;2100;2005;64;volkswagen;polo;small
628;1700;1999;193;bmw;3er;wagon
629;950;2002;0;fiat;punto;sedan
630;800;1996;122;mercedes_benz;c_klasse;sedan
631;500;2001;188;chevrolet;other;bus
632;11850;2011;95;mercedes_benz;a_klasse;sedan
633;890;2007;75;dacia;logan;wagon
634;250;2000;0;volkswagen;transporter;
635;600;1998;0;ford;mondeo;wagon
636;2500;2001;0;audi;a2;sedan
637;1299;1999;102;mercedes_benz;a_klasse;sedan
638;750;1998;193;bmw;5er;wagon
639;4500;2004;105;volkswagen;touran;bus
640;4000;1999;120;nissan;other;suv
641;950;1999;60;volkswagen;polo;small
642;3900;2016;0;nissan;other;
643;4200;2003;90;mini;one;small
644;5950;2003;131;seat;ibiza;sedan
645;2650;2006;105;volkswagen;golf;sedan
646;9500;2005;265;audi;a4;wagon
647;9250;2012;75;mini;one;small
648;850;1996;116;volkswagen;passat;wagon
649;2990;2002;116;mercedes_benz;e_klasse;sedan
650;16000;2010;170;mercedes_benz;c_klasse;sedan
651;499;1992;54;volkswagen;golf;small
652;2500;1999;170;bmw;5er;sedan
653;3499;2004;75;volkswagen;golf;sedan
654;400;2016;0;renault;kangoo;
655;1699;2003;102;mercedes_benz;a_klasse;sedan
656;2400;2006;75;renault;clio;small
657;2999;2000;122;mercedes_benz;c_klasse;sedan
658;13800;2005;333;bmw;5er;sedan
659;1100;2017;0;audi;a3;
